Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1774612093292,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,36.842105865478516,42.105262756347656,25,100,0,0,0,42.85714340209961,23.809524536132813,45,42.105262756347656,45,0,0,5.263157844543457,0,0,8192,7674,79442,67,45,64347.15594482422,41854.078369140625,1628.689208984375,33293438976,8589930496,7054970880,1078120448
200,1774612093493,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,73.68421173095703,45,0,15.000000953674316,0,5,0,47.36842346191406,45,55,47.619049072265625,45,10,0,38.095237731933594,25,0,8192,7674,80655,67,50,64351.21374511719,41856.965270996094,1628.689208984375,33293438976,8589930496,7050817536,1078120448
200,1774612093693,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,38.095237731933594,45,0,0,0,0,0,45,45,45,42.105262756347656,45,10,0,5.263157844543457,100,0,8192,7674,79503,67,60,64355.121826171875,41859.714782714844,1628.689208984375,33293438976,8589930496,7051333632,1078120448
199,1774612093893,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,5,0,40,95.23809814453125,0,0,0,30.000001907348633,10,45,40,40,15.000000953674316,5.263157844543457,38.095237731933594,30.000001907348633,0,8192,7674,79585,67,53,64358.81042480469,41862.27258300781,1628.689208984375,33293438976,8589930496,7074988032,1078120448
200,1774612094093,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,25,40,45,75,0,0,0,30.000001907348633,0,52.6315803527832,45,47.36842346191406,5.263157844543457,20,15.789472579956055,36.842105865478516,0,8192,7674,80475,67,44,64362.81774902344,41865.11071777344,1628.689208984375,33293438976,8589930496,7075360768,1078120448
200,1774612094293,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,5.263157844543457,100,40,0,0,0,0,0,0,42.85714340209961,40,42.85714340209961,14.285715103149414,40,40,42.85714340209961,0,8192,7674,79878,67,60,64366.61633300781,41867.77032470703,1628.689208984375,33293438976,8589930496,7076106240,1078120448
200,1774612094493,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,40,100,42.105262756347656,9.523809432983398,0,0,4.761904716491699,15.789472579956055,0,31.57894515991211,42.105262756347656,40,10,25,0,42.105262756347656,0,8192,7674,79683,67,49,64370.39520263672,41870.40637207031,1628.689208984375,33293438976,8589930496,7073628160,1078120448
200,1774612094693,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,38.095237731933594,55,20,10,30.000001907348633,26.3157901763916,10.526315689086914,50,30.000001907348633,30.000001907348633,23.809524536132813,20,10.526315689086914,0,10,90.47618865966797,0,8192,7674,80585,67,48,64374.45458984375,41873.2880859375,1628.689208984375,33293438976,8589930496,7074603008,1078120448
199,1774612094893,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,35,45,0,0,60.000003814697266,0,15.000000953674316,45,50,5,10,45,28.571430206298828,0,15.000000953674316,78.94737243652344,0,8192,7674,79984,67,59,64378.39501953125,41876.06610107422,1628.689208984375,33293438976,8589930496,7052337152,1078120448
199,1774612095093,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,26.3157901763916,40,0,25,100,5,10,10,40,15.000000953674316,40,36.842105865478516,31.57894515991211,0,15.000000953674316,0,0,8192,7674,79482,67,56,64382.136291503906,41878.671325683594,1628.689208984375,33293438976,8589930496,7072022528,1078120448
199,1774612095293,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,26.3157901763916,40,0,25,100,5,10,10,40,15.000000953674316,40,36.842105865478516,31.57894515991211,0,15.000000953674316,0,0,8192,7674,80510,67,50,64386.04553222656,41881.42791748047,1628.689208984375,33293438976,8589930496,7090257920,1078120448
199,1774612095494,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,50,45,77.5,2.5,12.5,43.90243911743164,17.948719024658203,12.820513725280762,55,7.692307949066162,43.589744567871094,2.4390242099761963,25.641027450561523,27.5,2.5,2.4390242099761963,0,8192,7674,79460,67,60,64389.9541015625,41884.17712402344,1628.689208984375,33293438976,8589930496,7062237184,1078120448
199,1774612095694,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,52.6315803527832,20,38.095237731933594,55,15.000000953674316,42.105262756347656,33.333335876464844,38.095237731933594,47.36842346191406,10,20,0,14.285715103149414,15.000000953674316,0,21.052631378173828,0,8192,7674,79558,67,54,64393.827392578125,41886.911071777344,1628.689208984375,33293438976,8589930496,7062482944,1078120448
